names,res,fps,framenos
/media/labuser-admin/seagate/hdr_videos/cut_vids/mycenae.mp4,3840x2160,30000/1001,400
/media/labuser-admin/seagate/hdr_videos/cut_vids/noordzee1.mp4,3840x2160,25/1,250
/media/labuser-admin/seagate/hdr_videos/cut_vids/noordzee2.mp4,3840x2160,25/1,367
/media/labuser-admin/seagate/hdr_videos/cut_vids/olympia_25.mp4,3840x2160,30000/1001,279
/media/labuser-admin/seagate/hdr_videos/cut_vids/olympia_64.mp4,3840x2160,30000/1001,298
/media/labuser-admin/seagate/hdr_videos/cut_vids/Poseidon.mp4,3840x2160,30000/1001,342
/media/labuser-admin/seagate/hdr_videos/cut_vids/Roof.mp4,1920x1080,30/1,440
/media/labuser-admin/seagate/hdr_videos/cut_vids/Santorini.mp4,3840x2160,30000/1001,439
/media/labuser-admin/seagate/hdr_videos/cut_vids/seara1.mp4,3840x2160,24000/1001,360
/media/labuser-admin/seagate/hdr_videos/cut_vids/seara2.mp4,3840x2160,24000/1001,304
/media/labuser-admin/seagate/hdr_videos/cut_vids/Sony_Japan.mp4,3840x2160,24/1,243
/media/labuser-admin/seagate/hdr_videos/cut_vids/sony_test.mp4,3840x2160,24/1,240
/media/labuser-admin/seagate/hdr_videos/cut_vids/sydvest_15.mp4,3840x2160,24000/1001,216
/media/labuser-admin/seagate/hdr_videos/cut_vids/sydvest_25.mp4,3840x2160,24000/1001,200
/media/labuser-admin/seagate/hdr_videos/cut_vids/sydvest_35.mp4,3840x2160,24000/1001,205
/media/labuser-admin/seagate/hdr_videos/cut_vids/sydvest_47.mp4,3840x2160,24000/1001,239
/media/labuser-admin/seagate/hdr_videos/cut_vids/sydvest_59.mp4,3840x2160,24000/1001,191
/media/labuser-admin/seagate/hdr_videos/cut_vids/sydvest_5.mp4,3840x2160,24000/1001,232
/media/labuser-admin/seagate/hdr_videos/cut_vids/t2t3_0.mp4,3840x2160,30000/1001,330
